"Car_Name","Price","Mileage","Fuel","Gearbox","Year","Voivodeship"
"Opel Corsa 1.0 12V Edition / Active","3 500","64 000 km","Benzyna","Manualna","2007","Wielkopolskie"
"Opel Frontera 1.2 T mHEV GS eDTC6","99 900","1 km","Hybryda","Automatyczna","2025","Mazowieckie"
"Opel Astra V 1.2 T Elegance S&S","89 900","37 307 km","Benzyna","Manualna","2023","Kujawsko-pomorskie"
"Opel Corsa","99 900","5 km","Benzyna","Automatyczna","2025","Śląskie"
"Opel Combo Life 1.2 Turbo Edition S&S","47 500","168 000 km","Benzyna","Manualna","2019","Podlaskie"
"Opel Astra 1.4 Turbo Edition","16 999","158 357 km","Benzyna","Manualna","2011","Wielkopolskie"
"Opel Astra","121 400","5 km","Benzyna","Automatyczna","2025","Zachodniopomorskie"
"Opel Crossland X","43 000","76 000 km","Benzyna","Manualna","2020","Dolnośląskie"
"Opel Mokka","84 800","21 167 km","Benzyna","Automatyczna","2023","Podkarpackie"
"Opel Grandland 1.2 mHEV GS eDTC6","162 999","5 km","Hybryda","Automatyczna","2025","Mazowieckie"
"Opel Astra III 1.6 Enjoy","12 500","131 949 km","Benzyna","Manualna","2007","Śląskie"
"Opel Frontera","112 730","5 km","Hybryda","Automatyczna","2025","Śląskie"
"Opel Corsa 1.2 Edition S&S","74 900","5 km","Benzyna","Manualna","2025","Śląskie"
"Opel Grandland 1.2 T mHEV GS S&S eDTC6","164 900","2 km","Hybryda","Automatyczna","2025","Śląskie"
"Opel Corsa 1.2 Edition S&S","48 500","49 442 km","Benzyna","Manualna","2020","Mazowieckie"
"Opel Crossland X","51 900","54 160 km","Benzyna","Manualna","2022","Wielkopolskie"
"Opel Crossland X","51 900","33 726 km","Benzyna","Manualna","2022","Wielkopolskie"
"Opel Mokka 1.2 T Edition S&S","67 900","57 400 km","Benzyna","Manualna","2023","Świętokrzyskie"
"Opel Corsa 1.2 Elegance S&S","47 500","57 500 km","Benzyna","Manualna","2020","Śląskie"
"Opel Mokka 1.2 T GS S&S","119 900","1 km","Benzyna","Automatyczna","2025","Małopolskie"
"Opel Mokka 1.4 Turbo Automatik Edition","46 900","119 000 km","Benzyna","Automatyczna","2017","Wielkopolskie"
"Opel Mokka 1.2 T mHEV GS S&S eDTC6","122 400","7 km","Hybryda","Automatyczna","2025","Wielkopolskie"
"Opel Frontera","119 900","5 km","Hybryda","Automatyczna","2025","Śląskie"
"Opel Mokka 1.6 ecoFLEX Start/Stop Color Edition","39 900","87 000 km","Benzyna","Manualna","2013","Podkarpackie"
"Opel Astra ver-vi-1-5-cdti-gs-s-s","104 999","8 000 km","Diesel","Automatyczna","2024","Mazowieckie"
"Opel Astra IV GTC 1.6 T SIDI Sport S&S","33 999","143 000 km","Benzyna","Manualna","2015","Wielkopolskie"
"Opel Corsa 1.2 Business S&S","56 900","8 500 km","Benzyna","Manualna","2022","Wielkopolskie"
